timestamp,market_ticker,event_ticker,sport,side,strategy,entry_price,exit_price,peak_price,contracts,entry_fee,exit_fee,pnl_gross,pnl_net,win,exit_reason,age_seconds,price_range,is_bot
2026-03-17T00:55:15.043278+00:00,KXNBAGAME-26MAR16PORBKN-POR,KXNBAGAME-26MAR16PORBKN,,no,watcher_watcher_value_fade,2,1,2,20,0.01,0.01,-0.2,-0.22,0,Stop loss: 1c <= 1c (entry=2c),551,other,1
2026-03-17T00:55:15.325689+00:00,KXNBAGAME-26MAR16ORLATL-ATL,KXNBAGAME-26MAR16ORLATL,,no,watcher_watcher_value_fade,2,1,2,20,0.01,0.01,-0.2,-0.22,0,Stop loss: 1c <= 1c (entry=2c),551,other,1
2026-03-17T01:40:04.187916+00:00,KXNBASPREAD-26MAR16ORLATL-ATL3,KXNBASPREAD-26MAR16ORLATL,,no,watcher_watcher_value_fade,2,1,2,20,0.01,0.01,-0.2,-0.22,0,Stop loss: 1c <= 1c (entry=2c),2402,other,1
2026-03-17T01:40:14.884955+00:00,KXNBASPREAD-26MAR16PORBKN-POR6,KXNBASPREAD-26MAR16PORBKN,,no,watcher_manual,96,5,96,20,0.02,0.02,-18.2,-18.24,0,Stop loss: 5c <= 67c (entry=96c),1682,95-104,0
2026-03-17T01:49:52.076333+00:00,KXNBASPREAD-26MAR16PORBKN-POR6,KXNBASPREAD-26MAR16PORBKN,,no,watcher_manual,97,2,97,20,0.11,0.01,-19.0,-19.12,0,Stop loss: 2c <= 67c (entry=97c),2260,95-104,0
2026-03-17T02:00:51.821142+00:00,KXATPMATCH-26MAR16CASMAE-MAE,KXATPMATCH-26MAR16CASMAE,,yes,watcher_manual,24,10,24,19,0.25,0.03,-2.66,-2.94,0,Stop loss: 10c <= 16c (entry=24c),412,15-24,0
2026-03-17T02:05:21.327239+00:00,KXNBAGAME-26MAR16DALNOP-NOP,KXNBAGAME-26MAR16DALNOP,,no,watcher_watcher_value_fade,2,1,2,20,0.01,0.01,-0.2,-0.22,0,Stop loss: 1c <= 1c (entry=2c),243,other,1
2026-03-17T02:11:32.866046+00:00,KXATPMATCH-26MAR16MERSVR-SVR,KXATPMATCH-26MAR16MERSVR,,yes,watcher_tennis_underdog,32,1,55,4,0.02,0.01,-1.24,-1.27,0,Stop loss: 1c <= 22c (entry=32c),288,25-34,1
2026-03-17T02:11:45.587795+00:00,KXATPMATCH-26MAR16MERSVR-SVR,KXATPMATCH-26MAR16MERSVR,,yes,watcher_manual,32,1,32,4,1.1,0.01,-1.24,-2.35,0,Stop loss: 1c <= 22c (entry=32c),1209,25-34,0
2026-03-17T02:11:46.278002+00:00,KXNBASPREAD-26MAR16DALNOP-NOP5,KXNBASPREAD-26MAR16DALNOP,,no,watcher_manual,96,1,96,20,0.02,0.01,-19.0,-19.03,0,Stop loss: 1c <= 67c (entry=96c),150,95-104,0
2026-03-17T02:11:46.556686+00:00,KXNBASPREAD-26MAR16MEMCHI-CHI4,KXNBASPREAD-26MAR16MEMCHI,,no,watcher_manual,97,1,97,20,0.02,0.01,-19.2,-19.23,0,Stop loss: 1c <= 67c (entry=97c),94,95-104,0
2026-03-17T02:12:52.088728+00:00,KXNBASPREAD-26MAR16MEMCHI-CHI7,KXNBASPREAD-26MAR16MEMCHI,,no,watcher_watcher_value_fade,3,1,3,40,0.02,0.01,-0.8,-0.83,0,Stop loss: 1c <= 2c (entry=3c),31,other,1
2026-03-17T02:12:52.357332+00:00,KXNBASPREAD-26MAR16DALNOP-NOP8,KXNBASPREAD-26MAR16DALNOP,,no,watcher_watcher_value_fade,2,1,2,20,0.01,0.01,-0.2,-0.22,0,Stop loss: 1c <= 1c (entry=2c),31,other,1
2026-03-17T02:12:54.540405+00:00,KXNBA1HWINNER-26MAR16LALHOU-HOU,KXNBA1HWINNER-26MAR16LALHOU,,yes,watcher_manual,40,28,40,3,0.0,0.02,-0.36,-0.38,0,Stop loss: 28c <= 28c (entry=40c),32,35-44,0
2026-03-17T02:13:07.826374+00:00,KXNBA1HWINNER-26MAR16LALHOU-HOU,KXNBA1HWINNER-26MAR16LALHOU,,yes,watcher_manual,40,28,40,3,0.0,0.02,-0.36,-0.38,0,Stop loss: 28c <= 28c (entry=40c),45,35-44,0
2026-03-17T02:19:57.806834+00:00,KXNBAPTS-26MAR16SASLAC-SASVWEMBANYAMA1-25,KXNBAPTS-26MAR16SASLAC,,yes,watcher_prop_yes,55,28,55,2,0.01,0.01,-0.54,-0.56,0,Stop loss: 28c <= 38c (entry=55c),847,55-64,1
2026-03-17T02:19:59.723320+00:00,KXNBASPREAD-26MAR16MEMCHI-CHI13,KXNBASPREAD-26MAR16MEMCHI,,no,watcher_manual,98,1,98,20,0.01,0.01,-19.4,-19.42,0,Stop loss: 1c <= 68c (entry=98c),387,95-104,0
2026-03-17T02:20:10.569791+00:00,KXATPMATCH-26MAR16BASBAR-BAS,KXATPMATCH-26MAR16BASBAR,,yes,watcher_manual,30,21,30,4,0.02,0.02,-0.36,-0.4,0,Stop loss: 21c <= 21c (entry=30c),717,25-34,0
2026-03-17T02:20:27.463433+00:00,KXATPMATCH-26MAR16SVASMI-SMI,KXATPMATCH-26MAR16SVASMI,TennisMATCH,yes,exit_stale_tennis_underdog,25,25,27,5,0.02,0.02,0.0,-0.04,0,"Stale: 876s, 0c move, PNL=$-0.04",876,25-34,1
2026-03-17T02:23:51.627252+00:00,KXATPMATCH-26MAR16SVASMI-SMI,KXATPMATCH-26MAR16SVASMI,,yes,watcher_tennis_underdog,26,18,26,5,0.02,0.02,-0.4,-0.44,0,Stop loss: 18c <= 18c (entry=26c),149,25-34,1
2026-03-17T02:34:53.057836+00:00,KXATPMATCH-26MAR16BASBAR-BAS,KXATPMATCH-26MAR16BASBAR,,yes,watcher_tennis_underdog,26,2,26,5,0.02,0.01,-1.2,-1.23,0,Stop loss: 2c <= 18c (entry=26c),864,25-34,1
2026-03-17T02:35:21.917375+00:00,KXATPMATCH-26MAR16SVASMI-SMI,KXATPMATCH-26MAR16SVASMI,TennisMATCH,yes,exit_stale_manual,25,22,28,1,0.24,0.01,-0.03,-0.28,0,"Stale: 1770s, 3c move, PNL=$-0.28",1771,25-34,0
2026-03-17T02:38:05.771778+00:00,KXATPMATCH-26MAR16BASBAR-BAR,KXATPMATCH-26MAR16BASBAR,,no,watcher_value_fade,2,1,2,20,0.01,0.01,-0.2,-0.22,0,Stop loss: 1c <= 1c (entry=2c),162,other,1
2026-03-17T02:40:19.389336+00:00,KXATPMATCH-26MAR16BASBAR-BAR,KXATPMATCH-26MAR16BASBAR,,no,watcher_manual,98,1,98,20,0.01,0.01,-19.4,-19.42,0,Stop loss: 1c <= 68c (entry=98c),289,95-104,0
2026-03-17T02:43:07.817377+00:00,KXATPMATCH-26MAR16SVASMI-SMI,KXATPMATCH-26MAR16SVASMI,,yes,watcher_tennis_underdog,31,54,54,4,0.02,0.02,0.92,0.88,1,"Rocket exit: jumped +27c this cycle, profit=$0.88",358,25-34,1
